Order ID,Order Total,Date,Cashier Name,Payment Method,Customer ID,Role,Cashier Salary
71943,20.42,2023-01-01,Sally,check,373558,cashier,68070.84
42605,7.83,2023-01-01,Bob,cash,403572,cashier,61275.29
31439,15.51,2023-01-01,Brandon,card,836925,cashier,66810.4
18545,15.17,2023-01-01,Suzy,card,459377,cashier,52967.96
16168,16.92,2023-01-01,Sally,cash,139300,cashier,68070.84
46069,9.96,2023-01-01,Brandon,card,432692,cashier,66810.4
37786,19.03,2023-01-01,Bob,cash,246379,cashier,61275.29
57718,13.12,2023-01-01,Bob,check,492908,cashier,61275.29
68117,20.79,2023-01-01,Sally,check,809424,cashier,68070.84
16988,11.72,2023-01-01,Brandon,check,483127,cashier,66810.4
96850,6.89,2023-01-01,Sally,check,223047,cashier,68070.84
54297,7.6,2023-01-01,Brandon,card,468525,cashier,66810.4
22017,13.83,2023-01-01,Brandon,cash,413071,cashier,66810.4
14410,20.83,2023-01-01,Sally,card,696448,cashier,68070.84
56580,12.21,2023-01-01,Brandon,card,463225,cashier,66810.4
11560,12.24,2023-01-01,Suzy,check,644434,cashier,52967.96
66834,9.21,2023-01-01,Brandon,cash,804188,cashier,66810.4
27325,7.47,2023-01-01,Bob,cash,454797,cashier,61275.29
16590,15.58,2023-01-01,Bob,cash,569890,cashier,61275.29
92580,5.39,2023-01-01,Bob,card,485193,cashier,61275.29
33672,14.54,2023-01-01,Suzy,check,332309,cashier,52967.96
86120,15.6,2023-01-01,Suzy,check,942534,cashier,52967.96
20310,18.79,2023-01-01,Brandon,check,544546,cashier,66810.4
38073,11.97,2023-01-01,Sally,check,696448,cashier,68070.84
45021,22.08,2023-01-01,Bob,cash,147793,cashier,61275.29
35376,12.85,2023-01-01,Suzy,check,543143,cashier,52967.96
44383,19.02,2023-01-01,Sally,card,583130,cashier,68070.84
73472,18.7,2023-01-01,Suzy,cash,436269,cashier,52967.96
27488,15.99,2023-01-01,Brandon,card,837964,cashier,66810.4
79738,13.2,2023-01-01,Bob,card,897713,cashier,61275.29
68550,19.36,2023-01-01,Brandon,check,444930,cashier,66810.4
46841,9.75,2023-01-01,Brandon,card,204312,cashier,66810.4
93776,16.29,2023-01-01,Suzy,cash,258634,cashier,52967.96
52965,19.28,2023-01-01,Suzy,card,948492,cashier,52967.96
39356,8.45,2023-01-01,Suzy,check,373558,cashier,52967.96
95155,16.99,2023-01-01,Brandon,card,809424,cashier,66810.4
81270,19.47,2023-01-01,Brandon,card,366734,cashier,66810.4
30035,14.9,2023-01-01,Sally,card,227060,cashier,68070.84
95573,10.94,2023-01-01,Sally,card,273335,cashier,68070.84
52132,20.87,2023-01-01,Suzy,check,983657,cashier,52967.96
13236,13.79,2023-01-01,Bob,cash,885042,cashier,61275.29
82787,20.79,2023-01-01,Bob,card,583130,cashier,61275.29
24607,7.35,2023-01-01,Sally,cash,547896,cashier,68070.84
37662,13.38,2023-01-01,Suzy,card,756011,cashier,52967.96
34154,16.14,2023-01-01,Sally,check,485373,cashier,68070.84
80345,10.55,2023-01-01,Bob,cash,339629,cashier,61275.29
51332,21.27,2023-01-01,Bob,card,991734,cashier,61275.29
66895,8.83,2023-01-01,Brandon,check,679638,cashier,66810.4
41359,13.95,2023-01-01,Bob,check,833750,cashier,61275.29
51633,9.68,2023-01-01,Bob,card,211925,cashier,61275.29
