Order ID,Order Total,Date,Cashier Name,Payment Method,Customer ID,Role,Cashier Salary,Customer Name
71943,20.42,1/1/2023,Sally,check,373558,cashier,68070.84,Customer1
42605,7.83,1/1/2023,Bob,cash,403572,cashier,61275.29,Customer2
31439,15.51,1/1/2023,Brandon,card,836925,cashier,66810.4,Customer3
18545,15.17,1/1/2023,Suzy,card,459377,cashier,52967.96,Customer4
16168,16.92,1/1/2023,Sally,cash,139300,cashier,68070.84,Customer5
46069,9.96,1/1/2023,Brandon,card,432692,cashier,66810.4,Customer6
37786,19.03,1/1/2023,Bob,cash,246379,cashier,61275.29,Customer7
57718,13.12,1/1/2023,Bob,check,492908,cashier,61275.29,Customer8
68117,20.79,1/1/2023,Sally,check,809424,cashier,68070.84,Customer9
16988,11.72,1/1/2023,Brandon,check,483127,cashier,66810.4,Customer10
96850,6.89,1/1/2023,Sally,check,223047,cashier,68070.84,Customer11
54297,7.6,1/1/2023,Brandon,card,468525,cashier,66810.4,Customer12
22017,13.83,1/1/2023,Brandon,cash,413071,cashier,66810.4,Customer13
14410,20.83,1/1/2023,Sally,card,696448,cashier,68070.84,Customer14
56580,12.21,1/1/2023,Brandon,card,463225,cashier,66810.4,Customer15
11560,12.24,1/1/2023,Suzy,check,644434,cashier,52967.96,Customer16
66834,9.21,1/1/2023,Brandon,cash,804188,cashier,66810.4,Customer17
27325,7.47,1/1/2023,Bob,cash,454797,cashier,61275.29,Customer18
16590,15.58,1/1/2023,Bob,cash,569890,cashier,61275.29,Customer19
92580,5.39,1/1/2023,Bob,card,485193,cashier,61275.29,Customer20
33672,14.54,1/1/2023,Suzy,check,332309,cashier,52967.96,Customer21
86120,15.6,1/1/2023,Suzy,check,942534,cashier,52967.96,Customer22
20310,18.79,1/1/2023,Brandon,check,544546,cashier,66810.4,Customer23
38073,11.97,1/1/2023,Sally,check,696448,cashier,68070.84,Customer24
45021,22.08,1/1/2023,Bob,cash,147793,cashier,61275.29,Customer25
35376,12.85,1/1/2023,Suzy,check,543143,cashier,52967.96,Customer26
44383,19.02,1/1/2023,Sally,card,583130,cashier,68070.84,Customer27
73472,18.7,1/1/2023,Suzy,cash,436269,cashier,52967.96,Customer28
27488,15.99,1/1/2023,Brandon,card,837964,cashier,66810.4,Customer29
79738,13.2,1/1/2023,Bob,card,897713,cashier,61275.29,Customer30
68550,19.36,1/1/2023,Brandon,check,444930,cashier,66810.4,Customer31
46841,9.75,1/1/2023,Brandon,card,204312,cashier,66810.4,Customer32
93776,16.29,1/1/2023,Suzy,cash,258634,cashier,52967.96,Customer33
52965,19.28,1/1/2023,Suzy,card,948492,cashier,52967.96,Customer34
39356,8.45,1/1/2023,Suzy,check,373558,cashier,52967.96,Customer35
95155,16.99,1/1/2023,Brandon,card,809424,cashier,66810.4,Customer36
81270,19.47,1/1/2023,Brandon,card,366734,cashier,66810.4,Customer37
30035,14.9,1/1/2023,Sally,card,227060,cashier,68070.84,Customer38
95573,10.94,1/1/2023,Sally,card,273335,cashier,68070.84,Customer39
52132,20.87,1/1/2023,Suzy,check,983657,cashier,52967.96,Customer40
13236,13.79,1/1/2023,Bob,cash,885042,cashier,61275.29,Customer41
82787,20.79,1/1/2023,Bob,card,583130,cashier,61275.29,Customer42
24607,7.35,1/1/2023,Sally,cash,547896,cashier,68070.84,Customer43
37662,13.38,1/1/2023,Suzy,card,756011,cashier,52967.96,Customer44
34154,16.14,1/1/2023,Sally,check,485373,cashier,68070.84,Customer45
80345,10.55,1/1/2023,Bob,cash,339629,cashier,61275.29,Customer46
51332,21.27,1/1/2023,Bob,card,991734,cashier,61275.29,Customer47
66895,8.83,1/1/2023,Brandon,check,679638,cashier,66810.4,Customer48
41359,13.95,1/1/2023,Bob,check,833750,cashier,61275.29,Customer49
51633,9.68,1/1/2023,Bob,card,211925,cashier,61275.29,Customer50
67377,9.12,1/1/2023,Suzy,cash,770827,cashier,52967.96,Customer51
86575,8.09,1/1/2023,Suzy,check,142317,cashier,52967.96,Customer52
73047,14.18,1/1/2023,Bob,card,393946,cashier,61275.29,Customer53
25789,11.06,1/1/2023,Suzy,card,333589,cashier,52967.96,Customer54
64859,16.66,1/1/2023,Sally,card,610680,cashier,68070.84,Customer55
63444,12.03,1/1/2023,Brandon,check,204312,cashier,66810.4,Customer56
34282,8.16,1/1/2023,Sally,cash,543143,cashier,68070.84,Customer57
94352,9.91,1/1/2023,Suzy,card,268260,cashier,52967.96,Customer58
